timestamp,namespace,pod_name,cpu_usage_millicores,memory_usage_mib,network_io_kbps,disk_io_kbps
2025-03-07T20:58:09.811503,default,nginx-5869d7778c-pdbdg,1,57,417.5048828125,19.32
2025-03-07T20:58:09.992514,default,redis-0,7,58,351.515625,19.31
2025-03-07T20:58:10.169323,ingress-nginx,ingress-nginx-controller-56d7c84fd4-sp2jc,3,108,0.0,0.0
2025-03-07T20:58:10.244758,kube-system,coredns-668d6bf9bc-knzlb,3,18,0.0,0.0
2025-03-07T20:58:10.312972,kube-system,etcd-minikube,22,43,0.0,0.0
2025-03-07T20:58:10.387233,kube-system,kube-apiserver-minikube,42,214,0.0,0.0
2025-03-07T20:58:10.463114,kube-system,kube-controller-manager-minikube,19,58,0.0,0.0
2025-03-07T20:58:10.544239,kube-system,kube-proxy-tsj59,1,17,0.0,0.0
2025-03-07T20:58:10.618128,kube-system,kube-scheduler-minikube,10,26,0.0,0.0
2025-03-07T20:58:10.685619,kube-system,metrics-server-65ff869474-9f92v,4,20,0.0,0.0
2025-03-07T20:58:10.759359,kube-system,storage-provisioner,3,18,0.0,0.0
2025-03-07T20:59:10.895954,default,nginx-5869d7778c-pdbdg,1,57,417.5048828125,19.13
2025-03-07T20:59:11.082783,default,redis-0,7,58,351.515625,19.13
2025-03-07T20:59:11.246256,ingress-nginx,ingress-nginx-controller-56d7c84fd4-sp2jc,3,108,0.0,0.0
2025-03-07T20:59:11.325396,kube-system,coredns-668d6bf9bc-knzlb,3,18,0.0,0.0
2025-03-07T20:59:11.396242,kube-system,etcd-minikube,22,43,0.0,0.0
2025-03-07T20:59:11.468387,kube-system,kube-apiserver-minikube,43,216,0.0,0.0
2025-03-07T20:59:11.542905,kube-system,kube-controller-manager-minikube,18,58,0.0,0.0
2025-03-07T20:59:11.619184,kube-system,kube-proxy-tsj59,1,17,0.0,0.0
2025-03-07T20:59:11.693226,kube-system,kube-scheduler-minikube,9,26,0.0,0.0
2025-03-07T20:59:11.769993,kube-system,metrics-server-65ff869474-9f92v,5,20,0.0,0.0
2025-03-07T20:59:11.844496,kube-system,storage-provisioner,2,18,0.0,0.0
2025-03-07T21:00:12.003247,default,nginx-5869d7778c-pdbdg,1,57,417.5048828125,18.94
2025-03-07T21:00:12.183820,default,redis-0,7,58,351.515625,18.94
2025-03-07T21:00:12.372046,ingress-nginx,ingress-nginx-controller-56d7c84fd4-sp2jc,3,108,0.0,0.0
2025-03-07T21:00:12.445337,kube-system,coredns-668d6bf9bc-knzlb,3,18,0.0,0.0
2025-03-07T21:00:12.511535,kube-system,etcd-minikube,21,43,0.0,0.0
2025-03-07T21:00:12.579186,kube-system,kube-apiserver-minikube,41,216,0.0,0.0
2025-03-07T21:00:12.652541,kube-system,kube-controller-manager-minikube,18,58,0.0,0.0
2025-03-07T21:00:12.730564,kube-system,kube-proxy-tsj59,1,17,0.0,0.0
2025-03-07T21:00:12.806310,kube-system,kube-scheduler-minikube,9,26,0.0,0.0
2025-03-07T21:00:12.880959,kube-system,metrics-server-65ff869474-9f92v,4,20,0.0,0.0
2025-03-07T21:00:12.954661,kube-system,storage-provisioner,2,19,0.0,0.0
2025-03-07T21:01:13.111773,default,nginx-5869d7778c-pdbdg,1,57,417.5048828125,18.77
2025-03-07T21:01:13.298399,default,redis-0,7,58,351.515625,18.77
2025-03-07T21:01:13.457473,ingress-nginx,ingress-nginx-controller-56d7c84fd4-sp2jc,4,108,0.0,0.0
2025-03-07T21:01:13.531559,kube-system,coredns-668d6bf9bc-knzlb,3,18,0.0,0.0
2025-03-07T21:01:13.600228,kube-system,etcd-minikube,21,43,0.0,0.0
2025-03-07T21:01:13.670578,kube-system,kube-apiserver-minikube,43,216,0.0,0.0
2025-03-07T21:01:13.744665,kube-system,kube-controller-manager-minikube,18,58,0.0,0.0
2025-03-07T21:01:13.820863,kube-system,kube-proxy-tsj59,1,17,0.0,0.0
2025-03-07T21:01:13.893480,kube-system,kube-scheduler-minikube,9,26,0.0,0.0
2025-03-07T21:01:13.967959,kube-system,metrics-server-65ff869474-9f92v,4,20,0.0,0.0
2025-03-07T21:01:14.041451,kube-system,storage-provisioner,2,18,0.0,0.0
